player_name,season,pos,age,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws_per_48,obpm,dbpm,bpm,vorp,mp,pk
Kirk Hinrich,2011,SG-PG,30,12.31163653,0.5426376912,0.3036476588,0.2009638387,1.081803431,8.893277701,21.13671766,1.786393139,0.597705146,15.14082058,16.72508113,1.51147427,0.8840982847,0.06786555401,-1.024918869,-0.202294854,-1.277213723,0.3363931386,2330,7
Kobe Bryant,2011,SG,32,23.9,0.548,0.217,0.356,3.5,13.3,26.7,1.9,0.3,11.4,35.1,6.8,3.5,0.178,5.4,-0.2,5.2,5,3133,13
Kosta Koufos,2011,C,21,12.61774194,0.4705483871,0.01385483871,0.2804677419,14.58064516,19.11451613,2.488709677,1.127419355,4.382258065,15.68225806,19.88548387,-0.2048387097,0.3274193548,0.02696774194,-3.916129032,-1.580645161,-5.496774194,-0.3274193548,436,23
Kris Humphries,2011,PF,25,17.8,0.555,0.002,0.328,12.5,32.2,7,0.9,3,13.4,17.3,2.7,2.7,0.125,0.5,-0.1,0.4,1.3,2061,14
Kurt Thomas,2011,PF,38,10,0.527,0.005,0.172,7.7,21.9,7.4,1.4,2.7,17.3,9.4,0.7,2.6,0.131,-3.4,2.8,-0.6,0.4,1252,10
Kwame Brown,2011,C,28,12.8,0.55,0,0.616,10.3,21.6,4.1,0.8,1.8,12.6,14.9,1.8,1.7,0.097,-1.9,-0.9,-2.8,-0.3,1714,1
Kyle Korver,2011,SG,29,13,0.572,0.519,0.156,0.9,9.5,12.1,1.1,0.9,9.2,18.3,2.7,2.4,0.149,0.4,0.7,1.1,1.3,1925,51
Kyle Lowry,2011,PG,24,16.5,0.55,0.424,0.31,3.9,9.7,29.4,2,0.6,14.7,18.6,5.1,1.8,0.13,2,0,2,2.6,2563,24
Kyle Weaver,2011,SG,24,11.3,0.491,0.28,0.32,3.5,14.1,15.8,1.5,2.4,19.7,23.6,-0.1,0,-0.018,-1.5,-1.2,-2.7,0,69,38
Kyrylo Fesenko,2011,C,24,5.8,0.441,0.01,0.46,8.9,19.8,5.9,0.5,2.9,17.2,14.6,-0.4,0.3,-0.011,-6.5,-0.9,-7.4,-0.6,456,38
Lamar Odom,2011,PF,31,19.4,0.589,0.199,0.275,7.8,22.2,15.5,0.9,1.8,12.2,19.7,6.1,4,0.184,2.8,0.8,3.5,3.7,2925,4
LaMarcus Aldridge,2011,PF,25,21.5,0.549,0.016,0.314,10.1,17.2,10.1,1.4,2.4,8.7,25.7,7.6,3.5,0.166,2.6,-0.5,2.1,3.4,3469,2
Lance Stephenson,2011,SG,20,5.5,0.41,0.128,0.359,1,16.3,28.3,1.8,0,26.2,23.5,-0.4,0.1,-0.093,-6.5,-0.6,-7.2,-0.2,115,40
